,title,firstname,middlename,lastname,name_suffix,nickname,party,state,district,in_office,gender,phone,fax,website,webform,congress_office,bioguide_id,votesmart_id,fec_id,govtrack_id,crp_id,twitter_id,congresspedia_url,youtube_url,facebook_id,official_rss,senate_class,birthdate,oc_email,up_for_election2014
542,Sen,Claire,,McCaskill,,,D,MO,Senior Seat,1,F,202-224-6154,202-228-6326,http://www.mccaskill.senate.gov,http://www.mccaskill.senate.gov/?p=contact,506 Hart Senate Office Building,M001170,2109,S6MO00305,412243,N00027694,McCaskillOffice,http://www.opencongress.org/wiki/Claire_McCaskill,http://youtube.com/SenatorMcCaskill,131498087618,,I,1953-07-24,Sen.Mccaskill@opencongress.org,0
548,Sen,Jeff,,Merkley,,,D,OR,Junior Seat,1,M,202-224-3753,202-228-3997,http://www.merkley.senate.gov,http://www.merkley.senate.gov/contact/,313 Hart Senate Office Building,M001176,23644,S8OR00207,412325,N00029303,SenJeffMerkley,http://www.opencongress.org/wiki/Jeffery_Merkley,http://youtube.com/SenatorJeffMerkley,74374931545,,II,1956-10-24,Sen.Merkley@opencongress.org,1
555,Sen,Joe,,Manchin,III,,D,WV,Junior Seat,1,M,202-224-3954,202-228-0002,http://www.manchin.senate.gov,http://www.manchin.senate.gov/public/index.cfm/contact-form,306 Hart Senate Office Building,M001183,7547,S0WV00090,412391,N00032838,Sen_JoeManchin,http://www.opencongress.org/wiki/Joe_Manchin,http://youtube.com/SenatorJoeManchin,10150135395755200,,I,1947-08-24,Sen.Manchin@opencongress.org,0
566,Sen,Bill,,Nelson,,,D,FL,Senior Seat,1,M,202-224-5274,202-228-2183,http://www.billnelson.senate.gov,http://www.billnelson.senate.gov/contact-bill,716 Hart Senate Office Building,N000032,1606,S8FL00166,300078,N00009926,SenBillNelson,http://www.opencongress.org/wiki/Bill_Nelson,http://youtube.com/senbillnelson,22515581608,,I,1942-09-29,Sen.Billnelson@opencongress.org,0
598,Sen,Robert,J.,Portman,,Rob,R,OH,Junior Seat,1,M,202-224-3353,,http://www.portman.senate.gov,https://www.portman.senate.gov/public/index.cfm/contact-form,448 Russell Senate Office Building,P000449,27008,S0OH00133,400325,N00003682,SenRobPortman,http://www.opencongress.org/wiki/Rand_Paul,http://youtube.com/SenRobPortman,45243961073,,III,1955-12-19,Sen.Portman@opencongress.org,0
607,Sen,Mark,,Pryor,,,D,AR,Senior Seat,1,M,202-224-2353,202-228-0908,http://www.pryor.senate.gov,http://www.pryor.senate.gov/contact/form,255 Dirksen Senate Office Building,P000590,35,S0AR00028,300080,N00013823,SenMarkPryor,http://www.opencongress.org/wiki/Mark_Pryor,http://youtube.com/senatorpryor,9248638978,,II,1963-01-10,Sen.Pryor@opencongress.org,1
620,Sen,Rand,,Paul,,,R,KY,Junior Seat,1,M,202-224-4343,,http://www.paul.senate.gov,http://www.paul.senate.gov/?p=contact,124 Russell Senate Office Building,P000603,117285,S0KY00156,412492,N00030836,SenRandPaul,http://www.opencongress.org/wiki/Rob_Portman,http://youtube.com/SenatorRandPaul,161355253917286,,III,1963-01-07,Sen.Paul@opencongress.org,0
632,Sen,John,F.,Reed,,Jack,D,RI,Senior Seat,1,M,202-224-4642,202-224-4680,http://www.reed.senate.gov,http://www.reed.senate.gov/contact/,728 Hart Senate Office Building,R000122,27060,S6RI00163,300081,N00000362,SenJackReed,http://www.opencongress.org/wiki/John_Reed,http://youtube.com/SenatorReed,213866375370646,,II,1949-11-12,Sen.Reed@opencongress.org,1
634,Sen,Harry,M.,Reid,,,D,NV,Senior Seat,1,M,202-224-3542,202-224-7327,http://www.reid.senate.gov,http://www.reid.senate.gov/contact,522 Hart Senate Office Building,R000146,53320,S6NV00028,300082,N00009922,SenatorReid,http://www.opencongress.org/wiki/Harry_Reid,http://youtube.com/SenatorReid,360249323990357,,III,1939-12-02,Sen.Reid@opencongress.org,0
636,Sen,Pat,,Roberts,,,R,KS,Senior Seat,1,M,202-224-4774,202-224-3514,http://www.roberts.senate.gov,http://www.roberts.senate.gov/public/index.cfm?p=EmailPat,109 Hart Senate Office Building,R000307,26866,S6KS00080,300083,N00005285,SenPatRoberts,http://www.opencongress.org/wiki/Pat_Roberts,http://youtube.com/SenPatRoberts,205694792808927,,II,1936-04-20,Sen.Roberts@opencongress.org,1
637,Sen,John,D.,Rockefeller,IV,Jay,D,WV,Senior Seat,1,M,202-224-6472,202-224-7665,http://www.rockefeller.senate.gov,http://www.rockefeller.senate.gov/public/index.cfm/email-jay,531 Hart Senate Office Building,R000361,53360,S4WV00027,300084,N00001685,SenRockefeller,http://www.opencongress.org/wiki/John_Rockefeller,http://youtube.com/SenatorRockefeller,134189283320639,,II,1937-06-18,Sen.Rockefeller@opencongress.org,0
660,Sen,James,,Risch,,,R,ID,Junior Seat,1,M,202-224-2752,202-224-2573,http://www.risch.senate.gov,http://www.risch.senate.gov/public/index.cfm?p=Email,483 Russell Senate Office Building,R000584,2919,S8ID00092,412322,N00029441,SenatorRisch,http://www.opencongress.org/wiki/James_Risch,http://youtube.com/SenatorJamesRisch,,,II,1943-05-03,Sen.Risch@opencongress.org,1
671,Sen,Marco,,Rubio,,,R,FL,Junior Seat,1,M,202-224-3041,202-224-3041,http://www.rubio.senate.gov,http://www.rubio.senate.gov/public/index.cfm/contact,284 Russell Senate Office Building,R000595,1601,S0FL00338,412491,N00030612,SenRubioPress,http://www.opencongress.org/wiki/Marco_Rubio,http://youtube.com/SenatorMarcoRubio,178910518800987,,III,1971-05-28,Sen.Rubio@opencongress.org,0
677,Sen,Bernard,,Sanders,,Bernie,I,VT,Junior Seat,1,M,202-224-5141,202-228-0776,http://www.sanders.senate.gov,http://www.sanders.senate.gov/contact/comment,332 Dirksen Senate Office Building,S000033,27110,H8VT01016,400357,N00000528,SenSanders,http://www.opencongress.org/wiki/Bernard_Sanders,http://youtube.com/senatorsanders,9124187907,,I,1941-09-08,Sen.Sanders@opencongress.org,0
680,Sen,Charles,E.,Schumer,,Chuck,D,NY,Senior Seat,1,M,202-224-6542,202-228-3027,http://www.schumer.senate.gov,http://www.schumer.senate.gov/Contact/contact_chuck.cfm,322 Hart Senate Office Building,S000148,26976,S8NY00082,300087,N00001093,SenSchumer,http://www.opencongress.org/wiki/Charles_Schumer,http://youtube.com/SenatorSchumer,15771239406,,III,1950-11-23,Sen.Schumer@opencongress.org,0
686,Sen,Richard,C.,Shelby,,,R,AL,Senior Seat,1,M,202-224-5744,202-224-3416,http://www.shelby.senate.gov,http://www.shelby.senate.gov/public/index.cfm/emailsenatorshelby,304 Russell Senate Office Building,S000320,53266,S6AL00013,300089,N00009920,SenShelby,http://www.opencongress.org/wiki/Richard_Shelby,http://youtube.com/SenatorRichardShelby,50850514797,,III,1934-05-06,Sen.Shelby@opencongress.org,0
698,Sen,Debbie,Ann,Stabenow,,,D,MI,Junior Seat,1,F,202-224-4822,202-228-0325,http://www.stabenow.senate.gov,http://www.stabenow.senate.gov/?p=contact,133 Hart Senate Office Building,S000770,515,S8MI00281,300093,N00004118,SenStabenow,http://www.opencongress.org/wiki/Debbie_Stabenow,http://youtube.com/senatorstabenow,8408030527,,I,1950-04-29,Sen.Stabenow@opencongress.org,0
705,Sen,Jefferson,B.,Sessions,,Jeff,R,AL,Junior Seat,1,M,202-224-4124,202-224-3149,http://www.sessions.senate.gov,http://www.sessions.senate.gov/public/index.cfm/contact-jeff,326 Russell Senate Office Building,S001141,443,S6AL00195,300088,N00003062,SenatorSessions,http://www.opencongress.org/wiki/Jefferson_Sessions,http://youtube.com/SenatorSessions,23444159584,,II,1946-12-24,Sen.Sessions@opencongress.org,1
736,Sen,Jeanne,,Shaheen,,,D,NH,Senior Seat,1,F,202-224-2841,202-228-3194,http://www.shaheen.senate.gov,http://www.shaheen.senate.gov/contact/,520 Hart Senate Office Building,S001181,1663,S0NH00219,412323,N00024790,SenatorShaheen,http://www.opencongress.org/wiki/Jeanne_Shaheen,http://youtube.com/senatorshaheen,127503767282103,,II,1947-01-28,Sen.Shaheen@opencongress.org,1
739,Sen,Tim,,Scott,,,R,SC,Junior Seat,1,M,202-224-6121,202-225-3407,http://www.scott.senate.gov,http://www.scott.senate.gov/contact/email-me,167 Russell Senate Office Building,S001184,11940,H0SC01279,412471,N00031782,SenatorTimScott,http://www.opencongress.org/wiki/Tim_Scott,http://youtube.com/SenatorTimScott,163207553711385,,III,1965-09-19,Sen.Scott@opencongress.org,1
749,Sen,Brian,Emanuel,Schatz,,,D,HI,Senior Seat,1,M,202-224-3934,202-228-1153,http://www.schatz.senate.gov,http://www.schatz.senate.gov/contact,722 Hart Senate Office Building,S001194,17852,S4HI00136,412507,N00028138,brianschatz,,http://youtube.com/senbrianschatz,357806137657533,,III,1972-10-20,Sen.Schatz@opencongress.org,1
756,Sen,John,,Thune,,,R,SD,Junior Seat,1,M,202-224-2321,202-228-5429,http://www.thune.senate.gov,http://www.thune.senate.gov/public/index.cfm/contact,511 Dirksen Senate Office Building,T000250,398,S2SD00068,400546,N00004572,SenJohnThune,http://www.opencongress.org/wiki/John_Thune,http://youtube.com/johnthune,63002536261,,III,1961-01-07,Sen.Thune@opencongress.org,0
763,Sen,Patrick,J.,Toomey,,Pat,R,PA,Junior Seat,1,M,202-224-4254,,http://www.toomey.senate.gov,http://www.toomey.senate.gov/?p=contact,248 Russell Senate Office Building,T000461,24096,S4PA00121,400408,N00001489,SenToomey,http://www.opencongress.org/wiki/Pat_Toomey,http://youtube.com/sentoomey,189274047751251,,III,1961-11-17,Sen.Toomey@opencongress.org,0
766,Sen,Jon,,Tester,,,D,MT,Senior Seat,1,M,202-224-2644,202-224-8594,http://www.tester.senate.gov,http://www.tester.senate.gov/?p=email_senator,706 Hart Senate Office Building,T000464,20928,S6MT00162,412244,N00027605,SenatorTester,http://www.opencongress.org/wiki/Jon_Tester,http://youtube.com/senatorjontester,210573031664,,I,1956-08-21,Sen.Tester@opencongress.org,0
776,Sen,Mark,E.,Udall,,,D,CO,Senior Seat,1,M,202-224-5941,202-226-7840,http://www.markudall.senate.gov,http://www.markudall.senate.gov/?p=contact_us,730 Hart Senate Office Building,U000038,12329,H8CO02087,400412,N00008051,MarkUdall,http://www.opencongress.org/wiki/Mark_Udall,http://youtube.com/senatormarkudall,17204170252,,II,1950-07-18,Sen.Markudall@opencongress.org,1
777,Sen,Tom,S.,Udall,,,D,NM,Senior Seat,1,M,202-224-6621,,http://www.tomudall.senate.gov,http://www.tomudall.senate.gov/?p=contact,110 Hart Senate Office Building,U000039,22658,H8NM03097,400413,N00006561,SenatorTomUdall,http://www.opencongress.org/wiki/Tom_Udall,http://youtube.com/senatortomudall,106433512869,,II,1948-05-18,Sen.Tomudall@opencongress.org,1
781,Sen,David,,Vitter,,,R,LA,Junior Seat,1,M,202-224-4623,202-228-5061,http://www.vitter.senate.gov,http://www.vitter.senate.gov/contact/email-senator-vitter,516 Hart Senate Office Building,V000127,4615,S4LA00057,400418,N00009659,DavidVitter,http://www.opencongress.org/wiki/David_Vitter,http://youtube.com/SenatorVitter,53906687963,,III,1961-05-03,Sen.Vitter@opencongress.org,0
797,Sen,Roger,F.,Wicker,,,R,MS,Junior Seat,1,M,202-224-6253,202-228-0378,http://www.wicker.senate.gov,http://www.wicker.senate.gov/public/index.cfm/contact,555 Dirksen Senate Office Building,W000437,21926,H4MS01078,400432,N00003280,SenatorWicker,http://www.opencongress.org/wiki/Roger_Wicker,http://youtube.com/SenatorWicker,6690879844,,I,1951-07-05,Sen.Wicker@opencongress.org,0
800,Sen,Ron,,Wyden,,,D,OR,Senior Seat,1,M,202-224-5244,202-228-2717,http://www.wyden.senate.gov,http://www.wyden.senate.gov/contact,221 Dirksen Senate Office Building,W000779,27036,S6OR00110,300100,N00007724,RonWyden,http://www.opencongress.org/wiki/Ron_Wyden,http://youtube.com/senronwyden,54787697857,,III,1949-05-03,Sen.Wyden@opencongress.org,0
814,Sen,Sheldon,,Whitehouse,,,D,RI,Junior Seat,1,M,202-224-2921,202-228-6362,http://www.whitehouse.senate.gov,http://www.whitehouse.senate.gov/contact,530 Hart Senate Office Building,W000802,2572,S6RI00221,412247,N00027533,SenWhitehouse,http://www.opencongress.org/wiki/Sheldon_Whitehouse,http://youtube.com/SenatorWhitehouse,194172833926853,,I,1955-10-20,Sen.Whitehouse@opencongress.org,0
817,Sen,Mark,,Warner,,,D,VA,Senior Seat,1,M,202-224-2023,202-224-6295,http://www.warner.senate.gov,http://www.warner.senate.gov/public//index.cfm?p=ContactPage#form_f9db6196-2dc7-4cda-8add-f8435a71318a,475 Russell Senate Office Building,W000805,535,S6VA00093,412321,N00002097,MarkWarner,http://www.opencongress.org/wiki/Mark_Warner,http://youtube.com/SenatorMarkWarner,7935122852,,II,1954-12-15,Sen.Warner@opencongress.org,1
829,Sen,Elizabeth,,Warren,,,D,MA,Senior Seat,1,F,202-224-4543,,http://www.warren.senate.gov,http://www.warren.senate.gov/?p=email_senator#thisForm,317 Hart Senate Office Building,W000817,141272,S2MA00170,412542,N00033492,SenWarren,,http://youtube.com/senelizabethwarren,131559043673264,,I,1949-06-22,Sen.Warren@opencongress.org,0
830,Sen,John,E.,Walsh,,,D,MT,Junior Seat,1,M,202-224-2651,,http://www.walsh.senate.gov,http://www.walsh.senate.gov/contact.cfm,511 Hart Senate Office Building,W000818,111027,S4MT00118,412602,N00035686,SenWalshOffice,,,582461281840409,,II,1960-11-03,Sen.Walsh@opencongress.org,1
